Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Mathieu Perreault","Anaheim","Center","69","18","25","43","740","696","44","1.9","2.8","4","0","40","19","1050000"
"Andrew Cogliano","Anaheim","Left Wing","82","21","21","42","917","987","-70","-2.5","-4.3","-25","-103","58","-8","2390000"
"Jakob Silfverberg","Anaheim","Right Wing","52","10","13","23","578","563","15","-0.1","0.2","-1","-36","52","4","863333"
"Hampus Lindholm","Anaheim","Defense","78","6","24","30","1212","1162","50","1.5","2","-38","-22","110","8","894166"
"Ben Lovejoy","Anaheim","Defense","78","5","13","18","1088","1169","-81","-2.2","-3.2","-59","-108","86","-8","1100000"
"Luca Sbisa","Anaheim","Defense","30","1","5","6","388","410","-22","-1.1","-2.6","12","-28","-6","-9","2175000"
"Emerson Etem","Anaheim","Left Wing","29","7","4","11","270","301","-31","-2.6","-5","-9","-21","-1","-26","870000"
"Patrick Maroon","Anaheim","Left Wing","62","11","18","29","629","531","98","5.3","8.7","43","-29","84","22","575000"
"Kyle Palmieri","Anaheim","Right Wing","71","14","17","31","676","725","-49","-2.7","-4.5","-39","-70","60","-9","1466667"
"Matt Beleskey","Anaheim","Left Wing","55","9","15","24","550","567","-17","-0.2","-1.5","1","-43","25","10","1350000"
"Tim Jackman","Anaheim","Right Wing","36","4","1","5","179","164","15","4.8","8.7","0","10","5","15","449167"
"Cam Fowler","Anaheim","Defense","70","6","30","36","1023","1059","-36","-1.3","-1.3","-4","-108","76","-22","4000000"
"Mark Fistric","Anaheim","Defense","34","1","4","5","387","415","-28","0.2","-0.2","-26","-48","46","11","900000"
"Corey Perry","Anaheim","Right Wing","81","43","39","82","1120","1000","120","4.2","6.6","21","-9","108","21","8625000"
"Sami Vatanen","Anaheim","Defense","48","6","15","21","677","593","84","3.1","6","-10","30","64","46","587744"
"Teemu Selanne","Anaheim","Right Wing","64","9","18","27","704","663","41","0.6","1.7","-20","12","49","5","2000000"
"Stephane Robidas","Anaheim","Defense","38","5","5","10","226","214","12","1.7","2.5","12","-11","11","-9","693846"
"Ryan Getzlaf","Anaheim","Center","77","31","56","87","1023","981","42","1.3","1.5","0","-43","85","-7","8250000"
"Bryan Allen","Anaheim","Defense","68","0","10","10","927","933","-6","0.3","-0.3","-31","-27","52","9","3500000"
"Francois Beauchemin","Anaheim","Defense","70","4","13","17","1111","1149","-38","-2","-3.4","-23","-88","73","-46","3500000"
"Nick Bonino","Anaheim","Center","77","22","27","49","800","809","-9","-0.3","-0.4","-10","-54","55","9","700000"
"Saku Koivu","Anaheim","Center","65","11","18","29","670","778","-108","-5.3","-8.6","-65","-94","51","-23","2500000"
"Daniel Winnik","Anaheim","Center","76","6","24","30","817","884","-67","-2.7","-4.4","-48","-88","69","2","1800000"
