Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Michael Raffl","PHI","L","68","9","13","22","706","635","71","3.3","5.8","1","6","64","29"
"Andrew MacDonald","PHI","D","82","4","24","28","302","324","-22","-5.4","-9.2","-13","-4","-5","-1"
"Wayne Simmonds","PHI","R","82","29","31","60","976","1035","-59","-2","-2.6","-69","-2","12","-24"
"Claude Giroux","PHI","C","82","28","58","86","1246","1098","148","4.8","7.3","44","24","80","45"
"Adam Hall","PHI","R","80","4","5","9","391","498","-107","-6.9","-9.2","-45","-59","-3","-35"
"Kimmo Timonen","PHI","D","77","6","29","35","966","790","176","6.4","8.8","42","46","88","64"
"Brayden Schenn","PHI","C","82","20","21","41","949","1034","-85","-2.9","-5","-80","6","-11","-25"
"Sean Couturier","PHI","C","82","13","26","39","1002","1037","-35","-1.2","-1.3","-18","-33","16","16"
"Scott Hartnell","PHI","L","78","20","32","52","1104","929","175","6.1","10","-1","57","119","59"
"Luke Schenn","PHI","D","79","4","8","12","1029","1127","-98","-3.2","-5.5","-79","-2","-17","-19"
"Matt Read","PHI","R","75","22","18","40","902","907","-5","-0.4","-0.2","5","-19","9","15"
"Steve Downie","PHI","R","62","4","20","24","531","548","-17","-1.1","-1.5","5","-47","25","7"
"Nicklas Grossmann","PHI","D","78","1","13","14","1100","1227","-127","-4.1","-7.1","-66","-41","-20","-27"
"Jay Rosehill","PHI","L","34","2","0","2","113","143","-30","-6.4","-10.7","-20","-3","-7","-6"
"Mark Streit","PHI","D","82","10","34","44","1280","1262","18","0.6","0.6","-7","12","13","-35"
"Braydon Coburn","PHI","D","82","5","12","17","1307","1248","59","1.9","2.9","-15","-40","114","53"
"Vincent Lecavalier","PHI","C","69","20","17","37","708","858","-150","-5.4","-9.6","-61","-24","-65","-47"
"Jakub Voracek","PHI","R","82","23","39","62","1145","932","213","7.3","12","66","61","86","70"
"Zac Rinaldo","PHI","C","67","2","2","4","383","443","-60","-4.5","-8","-60","5","-5","-6"
"Andrej Meszaros","PHI","D","52","7","15","22","518","534","-16","1.2","1.6","-24","-8","16","-18"
"Erik Gustafsson","PHI","D","31","2","8","10","448","481","-33","-2.7","-4.7","-22","-19","8","9"
"Max Talbot","PHI","C","81","8","19","27","133","127","6","4.9","8.2","-4","5","5","-3"
